"","ENTIDAD_RES","MUNICIPIO_RES","Nombre_Estado","UCI","positivos","decesos","Nombre_municipio","Defunciones_2018","porc_aumento","CFR_municipal"
"344",18,4,"NAYARIT",12,199,31,"Compostela",432,0.0717592592592593,0.155778894472362
"345",18,6,"NAYARIT",2,93,11,"Ixtlán del Río",180,0.0611111111111111,0.118279569892473
"346",18,7,"NAYARIT",3,100,29,"Jala",109,0.26605504587156,0.29
"347",18,8,"NAYARIT",3,271,21,"Xalisco",276,0.0760869565217391,0.0774907749077491
"348",19,10,"NUEVO LEÓN",10,186,16,"El Carmen",128,0.125,0.0860215053763441
"349",19,11,"NUEVO LEÓN",2,87,2,"Cerralvo",71,0.028169014084507,0.0229885057471264
"350",19,12,"NUEVO LEÓN",5,181,18,"Ciénega de Flores",188,0.0957446808510638,0.0994475138121547
"351",19,13,"NUEVO LEÓN",3,51,2,"China",85,0.0235294117647059,0.0392156862745098
"352",19,14,"NUEVO LEÓN",3,206,2,"Doctor Arroyo",214,0.00934579439252336,0.00970873786407767
"353",19,17,"NUEVO LEÓN",1,196,7,"Galeana",266,0.0263157894736842,0.0357142857142857
"354",19,18,"NUEVO LEÓN",25,1587,60,"García",717,0.0836820083682008,0.0378071833648393
"355",19,19,"NUEVO LEÓN",26,575,31,"San Pedro Garza García",725,0.0427586206896552,0.0539130434782609
"356",19,20,"NUEVO LEÓN",0,66,0,"General Bravo",39,0,0
"357",19,21,"NUEVO LEÓN",59,2319,206,"General Escobedo",1504,0.136968085106383,0.0888313928417421
"358",19,22,"NUEVO LEÓN",0,51,4,"General Terán",132,0.0303030303030303,0.0784313725490196
"359",19,25,"NUEVO LEÓN",7,214,22,"General Zuazua",130,0.169230769230769,0.102803738317757
"360",19,26,"NUEVO LEÓN",144,4952,479,"Guadalupe",3989,0.120080220606668,0.0967285945072698
"361",19,31,"NUEVO LEÓN",30,1475,106,"Juárez",1033,0.102613746369797,0.071864406779661
"362",19,33,"NUEVO LEÓN",3,653,22,"Linares",487,0.0451745379876797,0.0336906584992343
"363",19,38,"NUEVO LEÓN",1,434,12,"Montemorelos",447,0.0268456375838926,0.0276497695852535
"364",19,39,"NUEVO LEÓN",282,11419,945,"Monterrey",8338,0.113336531542336,0.0827568088273929
"365",19,4,"NUEVO LEÓN",2,477,10,"Allende",236,0.0423728813559322,0.0209643605870021
"366",19,41,"NUEVO LEÓN",12,387,39,"Pesquería",250,0.156,0.10077519379845
"367",19,44,"NUEVO LEÓN",3,503,12,"Sabinas Hidalgo",245,0.0489795918367347,0.0238568588469185
"368",19,45,"NUEVO LEÓN",6,335,15,"Salinas Victoria",238,0.0630252100840336,0.0447761194029851
"369",19,46,"NUEVO LEÓN",107,3206,321,"San Nicolás de los Garza",2961,0.108409321175279,0.100124766063631
"370",19,48,"NUEVO LEÓN",35,2585,153,"Santa Catarina",1395,0.109677419354839,0.0591876208897485
"371",19,49,"NUEVO LEÓN",4,350,14,"Santiago",291,0.0481099656357388,0.04
"372",19,5,"NUEVO LEÓN",0,77,4,"Anáhuac",118,0.0338983050847458,0.051948051948052
"373",19,6,"NUEVO LEÓN",97,3802,337,"Apodaca",2011,0.167578319244157,0.0886375591793793
"374",19,9,"NUEVO LEÓN",23,401,49,"Cadereyta Jiménez",623,0.0786516853932584,0.122194513715711
"375",2,1,"BAJA CALIFORNIA",28,3019,383,"Ensenada",3125,0.12256,0.126863199735012
"376",2,2,"BAJA CALIFORNIA",89,8938,1573,"Mexicali",5923,0.265574877595813,0.175990154396957
"377",2,3,"BAJA CALIFORNIA",4,483,92,"Tecate",579,0.158894645941278,0.19047619047619
"378",2,4,"BAJA CALIFORNIA",109,6037,1408,"Tijuana",10235,0.137567171470445,0.233228424714262
"379",2,5,"BAJA CALIFORNIA",7,341,41,"Playas de Rosarito",600,0.0683333333333333,0.120234604105572
"380",20,10,"OAXACA",11,124,6,"El Barrio de la Soledad",104,0.0576923076923077,0.0483870967741935
"381",20,103,"OAXACA",3,53,10,"San Antonino Castillo Velasco",33,0.303030303030303,0.188679245283019
"382",20,107,"OAXACA",7,289,34,"San Antonio de la Cal",100,0.34,0.117647058823529
"383",20,115,"OAXACA",0,117,6,"San Bartolo Coyotepec",41,0.146341463414634,0.0512820512820513
"384",20,14,"OAXACA",9,69,18,"Ciudad Ixtepec",188,0.0957446808510638,0.260869565217391
"385",20,150,"OAXACA",1,76,10,"San Francisco Telixtlahuaca",66,0.151515151515152,0.131578947368421
"386",20,157,"OAXACA",2,232,13,"San Jacinto Amilpas",49,0.26530612244898,0.0560344827586207
"387",20,174,"OAXACA",2,52,2,"Ánimas Trujano",21,0.0952380952380952,0.0384615384615385
"388",20,184,"OAXACA",27,1300,193,"San Juan Bautista Tuxtepec",1046,0.184512428298279,0.148461538461538
"389",20,2,"OAXACA",0,58,7,"Acatlán de Pérez Figueroa",304,0.0230263157894737,0.120689655172414
"390",20,227,"OAXACA",0,155,7,"San Lorenzo Cacaotepec",67,0.104477611940299,0.0451612903225806
"391",20,23,"OAXACA",1,132,6,"Cuilápam de Guerrero",122,0.0491803278688525,0.0454545454545455
"392",20,28,"OAXACA",0,106,3,"Heroica Ciudad de Ejutla de Crespo",198,0.0151515151515152,0.0283018867924528
"393",20,293,"OAXACA",0,148,9,"San Pablo Etla",38,0.236842105263158,0.0608108108108108
"394",20,310,"OAXACA",0,74,6,"San Pedro Ixtlahuaca",43,0.13953488372093,0.0810810810810811
"395",20,318,"OAXACA",4,137,15,"San Pedro Mixtepec -Dto. 22 -",234,0.0641025641025641,0.109489051094891
"396",20,324,"OAXACA",0,83,10,"San Pedro Pochutla",292,0.0342465753424658,0.120481927710843
"397",20,338,"OAXACA",0,98,7,"Villa de Etla",150,0.0466666666666667,0.0714285714285714
"398",20,350,"OAXACA",0,256,11,"San Sebastián Tutla",52,0.211538461538462,0.04296875
"399",20,375,"OAXACA",1,131,6,"Santa Cruz Amilpas",38,0.157894736842105,0.0458015267175573
"400",20,385,"OAXACA",8,1055,74,"Santa Cruz Xoxocotlán",365,0.202739726027397,0.0701421800947867
"401",20,39,"OAXACA",17,543,42,"Heroica Ciudad de Huajuapan de León",477,0.0880503144654088,0.0773480662983425
"402",20,390,"OAXACA",3,694,30,"Santa Lucía del Camino",208,0.144230769230769,0.0432276657060519
"403",20,397,"OAXACA",0,69,10,"Heroica Ciudad de Tlaxiaco",263,0.0380228136882129,0.144927536231884
"404",20,399,"OAXACA",7,342,19,"Santa María Atzompa",132,0.143939393939394,0.0555555555555556
"405",20,409,"OAXACA",1,137,8,"Santa María del Tule",44,0.181818181818182,0.0583941605839416
"406",20,413,"OAXACA",3,137,10,"Santa María Huatulco",188,0.0531914893617021,0.072992700729927
"407",20,43,"OAXACA",43,283,55,"Heroica Ciudad de Juchitán de Zaragoza",629,0.0874403815580286,0.19434628975265
"408",20,44,"OAXACA",3,72,8,"Loma Bonita",295,0.0271186440677966,0.111111111111111
"409",20,45,"OAXACA",1,82,3,"Magdalena Apasco",22,0.136363636363636,0.0365853658536585
