"","Abreviatura","FECHA_DEF","acumulados_estimados","tasa_4dias","tasa_suave","Estado","suave_duplex","Poblacion2010","per_capita"
"894","DG","2020-07-04",177.800224789526,1.10745396884048,1.10125092058426,"DURANGO",28.7473572316496,1632934,0.108883901486236
"895","DG","2020-07-05",181.755328868499,1.07648558066946,1.08400116005046,"DURANGO",34.374212975089,1632934,0.111305985954422
"896","DG","2020-07-06",186.641739625933,1.07557951002245,1.08100967149305,"DURANGO",35.593702347723,1632934,0.114298397624113
"897","DG","2020-07-07",192.578968613238,1.09639408525781,1.10059096461288,"DURANGO",28.9271519762649,1632934,0.117934324726681
"898","DG","2020-07-08",201.624775343474,1.13399617791345,1.12718471283418,"DURANGO",23.1583401368975,1632934,0.123473928121696
"899","DG","2020-07-09",207.992148666812,1.144352410252,1.13969306943877,"DURANGO",21.203809751334,1632934,0.127373273302419
"900","DG","2020-07-10",212.038319914637,1.13607127933764,1.13607127933764,"DURANGO",21.7328284820025,1632934,0.129851126815068
"901","EUM","2020-04-12",629,NA,NA,"Nacional",NA,112336538,0.00559924679181408
"902","EUM","2020-04-13",707,NA,NA,"Nacional",NA,112336538,0.00629358900129181
"903","EUM","2020-04-14",789,NA,NA,"Nacional",NA,112336538,0.00702353850356328
"904","EUM","2020-04-15",878,NA,NA,"Nacional",NA,112336538,0.00781580076822378
"905","EUM","2020-04-16",953,1.51510333863275,NA,"Nacional",NA,112336538,0.00848343750810622
"906","EUM","2020-04-17",1056,1.49363507779349,1.49187981208472,"Nacional",6.93083168032985,112336538,0.00940032529754478
"907","EUM","2020-04-18",1156,1.46514575411914,1.47130055311387,"Nacional",7.18014277344762,112336538,0.010290507617388
"908","EUM","2020-04-19",1283,1.46127562642369,1.47179308699871,"Nacional",7.17392454797003,112336538,0.011421039163589
"909","EUM","2020-04-20",1429,1.49947534102833,1.48768915287766,"Nacional",6.97991218762657,112336538,0.0127207053505601
"910","EUM","2020-04-21",1574,1.4905303030303,1.49426893486912,"Nacional",6.9032189932296,112336538,0.0140114697143328
"911","EUM","2020-04-22",1730,1.49653979238754,1.48723138855306,"Nacional",6.98532406113304,112336538,0.0154001541332883
"912","EUM","2020-04-23",1880,1.46531566640686,1.46875919137729,"Nacional",7.21243290755897,112336538,0.0167354276130532
"913","EUM","2020-04-24",2069,1.44786564030791,1.45176110143165,"Nacional",7.43765295111392,112336538,0.018417872197557
"914","EUM","2020-04-25",2276,1.44599745870394,1.44594779838848,"Nacional",7.51857837358046,112336538,0.0202605495996325
"915","EUM","2020-04-26",2498,1.44393063583815,1.44343808685038,"Nacional",7.55416485933287,112336538,0.0222367543496845
"916","EUM","2020-04-27",2707,1.43989361702128,1.43182361923431,"Nacional",7.72418803700669,112336538,0.0240972353981569
"917","EUM","2020-04-28",2904,1.40357660705655,1.40908156718605,"Nacional",8.08480757752024,112336538,0.0258508945682481
"918","EUM","2020-04-29",3162,1.38927943760984,1.38680688898379,"Nacional",8.47876341005306,112336538,0.0281475649534437
"919","EUM","2020-04-30",3410,1.36509207365893,1.3707414041743,"Nacional",8.79205076782417,112336538,0.030355217106655
"920","EUM","2020-05-01",3691,1.36350203176949,1.36281397920306,"Nacional",8.95678828632729,112336538,0.0328566294254145
"921","EUM","2020-05-02",3947,1.35915977961433,1.35244464506136,"Nacional",9.18337848209652,112336538,0.0351354961642133
"922","EUM","2020-05-03",4199,1.32795698924731,1.33558662134542,"Nacional",9.58144540787124,112336538,0.0373787556102183
"923","EUM","2020-05-04",4526,1.32727272727273,1.32256952858569,"Nacional",9.91710372292098,112336538,0.0402896517961057
"924","EUM","2020-05-05",4827,1.30777567054999,1.30987627298372,"Nacional",10.2714079469475,112336538,0.0429691005788339
"925","EUM","2020-05-06",5118,1.2966810235622,1.2972658535672,"Nacional",10.6531962878479,112336538,0.0455595311295778
"926","EUM","2020-05-07",5408,1.28792569659443,1.28414061633977,"Nacional",11.0863764959765,112336538,0.0481410598571232
"927","EUM","2020-05-08",5721,1.26403004860804,1.26583610041037,"Nacional",11.7615711574598,112336538,0.0509273305182326
"928","EUM","2020-05-09",6021,1.24735860783095,1.24908501849031,"Nacional",12.4660426257273,112336538,0.0535978774777624
"929","EUM","2020-05-10",6334,1.23759280969129,1.2389755538448,"Nacional",12.9387982346338,112336538,0.0563841481388718
"930","EUM","2020-05-11",6670,1.23335798816568,1.23209887103809,"Nacional",13.2838275534944,112336538,0.0593751607335451
"931","EUM","2020-05-12",7003,1.2240866981297,1.22656122179137,"Nacional",13.5768455787825,112336538,0.0623394678586232
"932","EUM","2020-05-13",7374,1.22471350274041,1.22545136559319,"Nacional",13.6372982934538,112336538,0.0656420442652416
"933","EUM","2020-05-14",7780,1.22829175876224,1.22748317560595,"Nacional",13.5270748402667,112336538,0.0692561844838053
"934","EUM","2020-05-15",8195,1.22863568215892,1.22772378091282,"Nacional",13.5141521083061,112336538,0.0729504411111548
"935","EUM","2020-05-16",8581,1.22533200057118,1.22559519476077,"Nacional",13.629430625857,112336538,0.0763865448657497
"936","EUM","2020-05-17",9019,1.2230810957418,1.22189139334212,"Nacional",13.8352744011274,112336538,0.0802855434266632
"937","EUM","2020-05-18",9461.03534662057,1.2160713813137,1.21607552142739,"Nacional",14.1726958111443,112336538,0.0842204639297373
"938","EUM","2020-05-19",9908.39607305441,1.20907822734038,1.21044298680791,"Nacional",14.5172052034077,112336538,0.0882027900223738
"939","EUM","2020-05-20",10361.9360185264,1.2075441112372,1.20546789953017,"Nacional",14.837167620679,112336538,0.0922401224303925
"940","EUM","2020-05-21",10802.102732571,1.19770514830591,1.19761243231733,"Nacional",15.375088560673,112336538,0.096158408696652
"941","EUM","2020-05-22",11234.935209904,1.1874953214203,1.18745022439126,"Nacional",16.1376841562985,112336538,0.100011406884411
"942","EUM","2020-05-23",11663.2236140096,1.17710510641852,1.17793333745291,"Nacional",16.9306511196013,112336538,0.103823954535697
"943","EUM","2020-05-24",12123.7533646699,1.1700278155543,1.1708888664996,"Nacional",17.5743719436005,112336538,0.107923508953693
"944","EUM","2020-05-25",12599.5156836758,1.16639472847127,1.16658180906355,"Nacional",17.9947154314693,112336538,0.11215866100196
"945","EUM","2020-05-26",13071.9590588918,1.16350996375736,1.16309756359733,"Nacional",18.3509708552084,112336538,0.116364268399404
"946","EUM","2020-05-27",13517.3915673586,1.15897559840333,1.15877727550408,"Nacional",18.8143836149587,112336538,0.120329429836609
"947","EUM","2020-05-28",13986.5431118269,1.15364794145231,1.15270690819221,"Nacional",19.5097460033768,112336538,0.124505733938738
"948","EUM","2020-05-29",14420.8531811792,1.14455615146089,1.14551338724974,"Nacional",20.4087548007675,112336538,0.128371885389411
"949","EUM","2020-05-30",14892.7954341261,1.13929330462489,1.1406270085802,"Nacional",21.0718069912577,112336538,0.132573031885014
